Categoria: Tutte le categorie;;
;;
Settimana,Rita Levi-Montalcini: (Italia);;
2022-01-02,8;;8
2022-01-09,5;;5
2022-01-16,10;;10
2022-01-23,8;;8
2022-01-30,7;;7
2022-02-06,8;;8
2022-02-13,9;;9
2022-02-20,6;;6
2022-02-27,7;;7
2022-03-06,16;;16
2022-03-13,9;;9
2022-03-20,5;;5
2022-03-27,7;;7
2022-04-03,6;;6
2022-04-10,5;;5
2022-04-17,13;;13
2022-04-24,100;;100
2022-05-01,7;;7
2022-05-08,7;;7
2022-05-15,6;;6
2022-05-22,9;;9
2022-05-29,6;;6
2022-06-05,6;;6
2022-06-12,6;;6
2022-06-19,5;;5
2022-06-26,4;;4
2022-07-03,3;;3
2022-07-10,3;;3
2022-07-17,2;;2
2022-07-24,2;;2
2022-07-31,3;;3
2022-08-07,3;;3
2022-08-14,3;;3
2022-08-21,3;;3
2022-08-28,4;;4
2022-09-04,5;;5
2022-09-11,5;;5
2022-09-18,5;;5
2022-09-25,3;;3
2022-10-02,5;;5
2022-10-09,7;;7
2022-10-16,5;;5
2022-10-23,7;;7
2022-10-30,17;;17
2022-11-06,7;;7
2022-11-13,6;;6
2022-11-20,5;;5
2022-11-27,8;;8
2022-12-04,6;;6
2022-12-11,5;;5
2022-12-18,5;;5
2022-12-25,19;;19
2023-01-01,8;;8
2023-01-08,9;;9
2023-01-15,11;;11
2023-01-22,10;;10
2023-01-29,6;;6
2023-02-05,7;;7
2023-02-12,8;;8
2023-02-19,6;;6
2023-02-26,8;;8
2023-03-05,22;;22
2023-03-12,9;;9
2023-03-19,7;;7
2023-03-26,7;;7
;;
;TOTALE:;549
