Categoria: Tutte le categorie;;;;
;;;;
Settimana,Giulio Cesare: (Italia);;;;
2022-01-02,55;;;;55
2022-01-09,58;;;;58
2022-01-16,58;;;;58
2022-01-23,59;;;;59
2022-01-30,53;;;;53
2022-02-06,73;;;;73
2022-02-13,93;;;;93
2022-02-20,64;;;;64
2022-02-27,63;;;;63
2022-03-06,76;;;;76
2022-03-13,85;;;;85
2022-03-20,68;;;;68
2022-03-27,62;;;;62
2022-04-03,74;;;;74
2022-04-10,61;;;;61
2022-04-17,70;;;;70
2022-04-24,67;;;;67
2022-05-01,75;;;;75
2022-05-08,78;;;;78
2022-05-15,77;;;;77
2022-05-22,80;;;;80
2022-05-29,100;;;;100
2022-06-05,54;;;;54
2022-06-12,43;;;;43
2022-06-19,49;;;;49
2022-06-26,62;;;;62
2022-07-03,51;;;;51
2022-07-10,59;;;;59
2022-07-17,52;;;;52
2022-07-24,37;;;;37
2022-07-31,49;;;;49
2022-08-07,50;;;;50
2022-08-14,54;;;;54
2022-08-21,44;;;;44
2022-08-28,45;;;;45
2022-09-04,64;;;;64
2022-09-11,56;;;;56
2022-09-18,79;;;;79
2022-09-25,71;;;;71
2022-10-02,72;;;;72
2022-10-09,75;;;;75
2022-10-16,72;;;;72
2022-10-23,72;;;;72
2022-10-30,79;;;;79
2022-11-06,72;;;;72
2022-11-13,79;;;;79
2022-11-20,62;;;;62
2022-11-27,52;;;;52
2022-12-04,63;;;;63
2022-12-11,67;;;;67
2022-12-18,45;;;;45
2022-12-25,52;;;;52
2023-01-01,53;;;;53
2023-01-08,65;;;;65
2023-01-15,56;;;;56
2023-01-22,54;;;;54
2023-01-29,52;;;;52
2023-02-05,57;;;;57
2023-02-12,64;;;;64
2023-02-19,58;;;;58
2023-02-26,71;;;;71
2023-03-05,54;;;;54
2023-03-12,76;;;;76
2023-03-19,67;;;;67
2023-03-26,80;;;;80
;;;;
;;;TOTALE;4137
