Categoria: Tutte le categorie;;;;
;;;;
Settimana,Mario Draghi: (Italia);;;;
2022-01-02,11;;;;11
2022-01-09,18;;;;18
2022-01-16,9;;;;9
2022-01-23,17;;;;17
2022-01-30,10;;;;10
2022-02-06,7;;;;7
2022-02-13,7;;;;7
2022-02-20,13;;;;13
2022-02-27,9;;;;9
2022-03-06,8;;;;8
2022-03-13,7;;;;7
2022-03-20,7;;;;7
2022-03-27,8;;;;8
2022-04-03,8;;;;8
2022-04-10,5;;;;5
2022-04-17,8;;;;8
2022-04-24,4;;;;4
2022-05-01,8;;;;8
2022-05-08,7;;;;7
2022-05-15,5;;;;5
2022-05-22,4;;;;4
2022-05-29,3;;;;3
2022-06-05,3;;;;3
2022-06-12,5;;;;5
2022-06-19,5;;;;5
2022-06-26,7;;;;7
2022-07-03,8;;;;8
2022-07-10,63;;;;63
2022-07-17,100;;;;100
2022-07-24,10;;;;10
2022-07-31,5;;;;5
2022-08-07,4;;;;4
2022-08-14,3;;;;3
2022-08-21,5;;;;5
2022-08-28,4;;;;4
2022-09-04,3;;;;3
2022-09-11,5;;;;5
2022-09-18,8;;;;8
2022-09-25,8;;;;8
2022-10-02,4;;;;4
2022-10-09,3;;;;3
2022-10-16,5;;;;5
2022-10-23,5;;;;5
2022-10-30,2;;;;2
2022-11-06,1;;;;1
2022-11-13,1;;;;1
2022-11-20,1;;;;1
2022-11-27,1;;;;1
2022-12-04,1;;;;1
2022-12-11,1;;;;1
2022-12-18,1;;;;1
2022-12-25,1;;;;1
2023-01-01,1;;;;1
2023-01-08,1;;;;1
2023-01-15,1;;;;1
2023-01-22,1;;;;1
2023-01-29,1;;;;1
2023-02-05,1;;;;1
2023-02-12,1;;;;1
2023-02-19,1;;;;1
2023-02-26,1;;;;1
2023-03-05,1;;;;1
2023-03-12,1;;;;1
2023-03-19,1;;;;1
2023-03-26,1;;;;1
;;;;
;;;TOTALE;469
