Categoria: Tutte le categorie;;;;
;;;;
Settimana,Dante Alighieri: (Italia);;;;
2022-01-02,58;;;;58
2022-01-09,77;;;;77
2022-01-16,84;;;;84
2022-01-23,75;;;;75
2022-01-30,72;;;;72
2022-02-06,81;;;;81
2022-02-13,84;;;;84
2022-02-20,71;;;;71
2022-02-27,72;;;;72
2022-03-06,77;;;;77
2022-03-13,76;;;;76
2022-03-20,100;;;;100
2022-03-27,77;;;;77
2022-04-03,62;;;;62
2022-04-10,50;;;;50
2022-04-17,60;;;;60
2022-04-24,58;;;;58
2022-05-01,54;;;;54
2022-05-08,61;;;;61
2022-05-15,57;;;;57
2022-05-22,53;;;;53
2022-05-29,48;;;;48
2022-06-05,40;;;;40
2022-06-12,36;;;;36
2022-06-19,39;;;;39
2022-06-26,43;;;;43
2022-07-03,37;;;;37
2022-07-10,33;;;;33
2022-07-17,34;;;;34
2022-07-24,32;;;;32
2022-07-31,31;;;;31
2022-08-07,35;;;;35
2022-08-14,34;;;;34
2022-08-21,35;;;;35
2022-08-28,34;;;;34
2022-09-04,36;;;;36
2022-09-11,45;;;;45
2022-09-18,53;;;;53
2022-09-25,76;;;;76
2022-10-02,96;;;;96
2022-10-09,90;;;;90
2022-10-16,84;;;;84
2022-10-23,77;;;;77
2022-10-30,66;;;;66
2022-11-06,76;;;;76
2022-11-13,74;;;;74
2022-11-20,72;;;;72
2022-11-27,75;;;;75
2022-12-04,68;;;;68
2022-12-11,80;;;;80
2022-12-18,58;;;;58
2022-12-25,50;;;;50
2023-01-01,56;;;;56
2023-01-08,87;;;;87
2023-01-15,100;;;;100
2023-01-22,81;;;;81
2023-01-29,76;;;;76
2023-02-05,72;;;;72
2023-02-12,74;;;;74
2023-02-19,69;;;;69
2023-02-26,71;;;;71
2023-03-05,71;;;;71
2023-03-12,74;;;;74
2023-03-19,96;;;;96
2023-03-26,85;;;;85
;;;;
;;;TOTALE;4158
