sex,height,weight
F,1.58,50.5
M,1.89,95.0
M,1.81,72.5
F,1.55,70.9
M,1.7,95.4
M,1.8,105.2
F,1.48,60.3
M,1.9,85.3
M,1.6,70.9
M,1.8,82.9
M,1.61,52.5
M,1.91,81.9
F,1.56,46.7
M,1.79,67.0
M,1.86,75.4
F,1.61,62.1
M,1.72,85.1
M,1.73,84.9
M,1.76,62.5
F,1.86,100.0
F,1.62,57.0
M,1.7,54.6
F,1.73,84.7
F,1.75,89.5
M,1.91,74.1
F,1.75,57.9
M,1.77,89.8
M,1.59,62.7
F,1.67,53.7
F,1.69,68.5
F,1.76,93.5
F,1.5,51.2
F,1.61,67.2
F,1.65,64.7
M,1.81,87.4
M,1.7,68.2
M,1.65,84.5
F,1.68,71.0
F,1.56,67.5
M,1.79,78.7
F,1.79,89.5
M,1.84,73.0
F,1.71,67.4
M,1.72,80.8
M,1.65,77.8
M,1.63,65.5
F,1.67,54.4
M,1.7,58.6
F,1.58,73.2
M,1.76,71.6
M,1.63,76.6
M,1.74,81.4
F,1.76,84.4
F,1.81,117.5
M,1.73,85.0
M,1.71,75.8
M,1.67,78.1
M,1.64,49.6
M,1.68,63.7
F,1.68,59.7
M,1.81,68.9
F,1.68,78.6
F,1.58,56.8
F,1.61,66.3
F,1.6,73.0
M,1.96,74.6
M,1.72,100.8
M,1.5,65.6
M,1.76,54.9
F,1.56,93.8
M,1.76,70.5
F,1.63,50.6
F,1.67,81.7
F,1.52,53.1
M,1.75,75.7
M,1.88,78.9
F,1.7,56.9
F,1.77,91.6
F,1.65,75.0
M,1.66,81.6
F,1.77,87.5
M,1.72,70.1
M,1.76,71.6
F,1.65,54.1
F,1.55,45.4
F,1.67,83.2
F,1.37,56.6
M,1.74,98.4
F,1.63,59.4
F,1.7,80.2
F,1.76,90.4
M,1.85,132.2
F,1.77,84.9
F,1.65,72.1
M,1.84,86.7
F,1.63,42.7
F,1.74,81.6
M,1.71,77.2
F,1.6,73.7
F,1.75,69.0
F,1.67,108.3
F,1.73,87.1
F,1.56,63.2
F,1.63,90.6
M,1.72,60.5
M,1.7,64.6
F,1.76,66.9
M,1.76,88.9
F,1.68,83.7
M,1.65,79.1
M,1.76,61.1
M,1.89,102.7
F,1.59,48.6
F,1.55,51.4
F,1.43,60.3
F,1.58,50.8
M,1.88,80.9
M,1.53,68.8
F,1.44,52.7
M,1.91,80.9
M,1.84,76.0
F,1.44,45.4
F,1.64,56.0
F,1.65,60.1
F,1.48,57.2
F,1.64,85.9
M,1.59,50.1
M,1.86,66.2
F,1.51,86.9
F,1.79,65.4
M,1.85,72.5
F,1.5,47.4
F,1.63,68.3
M,1.63,90.4
F,1.64,52.6
F,1.54,65.2
M,1.81,88.9
F,1.6,49.3
F,1.64,81.4
F,1.51,46.2
F,1.6,52.8
F,1.55,70.9
F,1.87,90.5
F,1.75,63.0
M,1.62,60.7
M,1.7,46.8
F,1.61,59.0
F,1.58,99.5
F,1.61,53.7
M,1.69,86.4
M,1.81,108.5
F,1.43,40.8
F,1.72,64.4
M,1.73,74.5
F,1.61,58.1
M,1.6,50.7
M,1.68,69.7
F,1.69,59.9
F,1.66,77.8
F,1.63,89.8
F,1.68,59.3
M,1.86,134.7
M,1.82,125.8
F,1.59,55.2
F,1.67,67.1
M,1.9,88.1
M,1.64,47.5
F,1.68,54.5
F,1.65,56.2
F,1.69,70.4
F,1.77,108.2
F,1.66,53.7
M,1.82,75.6
M,1.74,88.4
F,1.6,69.7
F,1.66,64.4
M,1.81,72.9
M,1.76,90.5
F,1.6,82.6
F,1.7,80.2
F,1.57,43.8
F,1.71,54.5
M,1.7,81.6
M,1.75,80.4
F,1.64,106.9
F,1.79,67.9
