sex,height,weight
M,1.78,86.8
F,1.64,75.0
M,1.71,71.9
F,1.71,68.5
F,1.81,63.0
F,1.71,110.8
M,1.86,66.7
M,1.62,64.5
F,1.55,60.3
F,1.64,52.4
M,1.64,55.4
F,1.61,71.1
M,1.82,136.1
F,1.68,75.9
F,1.72,61.6
F,1.7,71.5
F,1.72,61.8
M,1.88,93.3
M,1.76,132.7
M,1.8,91.2
M,1.64,79.0
M,1.79,75.4
M,1.64,52.2
M,1.7,63.6
M,1.95,111.8
M,1.76,75.9
F,1.56,69.7
M,1.8,111.3
M,1.82,74.0
M,1.63,51.7
M,1.8,92.1
M,1.82,113.2
F,1.52,64.1
M,1.69,61.6
M,1.68,74.0
M,1.77,61.1
F,1.62,70.5
M,1.6,73.5
M,1.95,82.9
M,1.83,81.0
F,1.5,44.8
F,1.48,58.1
F,1.64,78.5
F,1.53,47.0
M,1.81,93.4
F,1.55,53.5
M,1.93,107.2
F,1.67,75.6
F,1.52,55.3
F,1.6,55.3
F,1.51,46.8
F,1.59,68.9
M,1.78,90.0
F,1.69,80.8
F,1.62,61.3
M,1.8,105.5
F,1.81,83.5
M,1.53,50.2
F,1.73,60.1
F,1.48,50.5
F,1.48,46.9
M,1.82,123.3
M,1.79,92.4
F,1.65,57.7
M,1.58,52.6
F,1.62,69.0
F,1.72,62.8
M,1.95,106.0
F,1.6,72.8
F,1.48,48.0
M,1.92,109.0
F,1.5,55.2
F,1.32,42.1
M,1.78,94.5
F,1.56,93.9
M,1.62,61.2
F,1.67,58.9
F,1.6,64.8
M,1.74,67.6
F,1.56,58.8
M,1.89,109.2
M,1.78,59.2
M,1.69,84.4
F,1.54,85.2
M,1.71,86.0
F,1.63,111.2
F,1.63,49.2
F,1.71,126.5
F,1.55,52.3
F,1.59,58.0
M,1.99,142.0
M,1.63,51.5
F,1.61,56.3
M,1.67,86.1
M,1.75,66.6
M,1.74,56.1
F,1.63,78.8
F,1.51,54.6
F,1.66,55.4
F,1.63,74.8
F,1.51,98.9
M,1.72,91.1
F,1.63,108.4
M,1.74,59.5
F,1.52,45.1
M,1.7,85.5
F,1.8,80.7
F,1.41,52.8
F,1.66,66.5
F,1.61,71.3
M,1.7,73.1
F,1.77,71.7
M,1.76,57.7
F,1.49,58.1
F,1.63,58.2
M,1.85,83.6
F,1.68,114.0
F,1.7,56.7
M,1.71,61.7
F,1.55,96.9
F,1.56,60.0
M,1.81,85.4
M,1.58,91.4
M,1.66,79.2
M,1.78,71.7
F,1.59,54.8
F,1.57,57.0
F,1.8,89.0
M,1.75,70.7
M,1.71,87.9
F,1.61,49.3
M,1.89,85.2
M,1.55,49.5
M,1.71,67.3
M,1.89,96.9
M,1.8,96.7
F,1.67,70.9
F,1.49,45.0
F,1.61,68.3
M,1.78,81.1
F,1.57,62.6
F,1.54,81.3
M,1.79,72.1
M,1.73,79.8
M,1.8,140.5
F,1.56,55.0
F,1.62,113.2
F,1.67,61.9
M,1.89,81.5
F,1.64,33.3
M,1.73,77.2
F,1.79,75.5
F,1.69,72.2
F,1.54,70.8
F,1.63,56.2
M,1.95,129.0
F,1.64,62.7
F,1.6,62.0
F,1.61,57.0
F,1.66,60.6
F,1.72,66.6
M,1.85,85.2
M,1.79,62.0
M,1.56,87.6
F,1.58,73.7
M,1.63,74.9
F,1.46,84.7
M,1.75,73.5
F,1.68,79.5
F,1.59,74.2
M,1.8,92.1
M,1.91,70.4
F,1.45,42.1
F,1.65,81.0
M,1.79,77.7
F,1.63,58.3
M,1.88,149.4
F,1.7,102.5
F,1.81,94.5
F,1.52,59.1
F,1.71,70.6
F,1.48,53.3
M,1.68,82.0
M,1.91,73.3
F,1.57,59.0
